ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
20904,MATH,1210,210,SPS,"0","Joshua Turner","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Wait List,32,32,8
10742,MATH,1210,300,Lecture,"3","James Bowling, -","TuTh 5:00pm - 6:15pm","Chemistry Bldg 204","A survey of Calculus I","",Wait List,32,32,1
20905,MATH,1210,310,SPS,"0","James Bowling","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Wait List,32,32,1
14286,MATH,1210,400,Lecture,"3","Joshua Turner","TuTh 2:00pm - 3:15pm","Monroe Hall 110","A survey of Calculus I","",Wait List,32,32,7
20906,MATH,1210,410,SPS,"0","Joshua Turner","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Wait List,32,32,7
13450,MATH,1210,500,Lecture,"3","James Bowling, -","TuTh 3:30pm - 4:45pm","Chemistry Bldg 204","A survey of Calculus I","",Wait List,32,32,6
20907,MATH,1210,510,SPS,"0","James Bowling","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Wait List,32,32,6
13001,MATH,1210,600,Lecture,"3","Jim Rolf","MoWe 2:00pm - 3:15pm","Chemistry Bldg 204","A survey of Calculus I","",Wait List,32,32,3
20908,MATH,1210,610,SPS,"0","Jim Rolf","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Wait List,32,32,3
14287,MATH,1210,700,Lecture,"3","Valentina Zapata Castro","MoWe 3:30pm - 4:45pm","Chemistry Bldg 204","A survey of Calculus I","",Wait List,32,32,3
20909,MATH,1210,710,SPS,"0","Valentina Zapata Castro","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Wait List,32,32,3
10743,MATH,1210,800,Lecture,"3","Jing Wang","MoWe 5:00pm - 6:15pm","Chemistry Bldg 206","A survey of Calculus I","",Open,31,32,1
20910,MATH,1210,810,SPS,"0","Jing Wang","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Open,31,32,1
11554,MATH,1210,900,Lecture,"3","Susan Mitchell","MoWeFr 10:00am - 10:50am","Chemistry Bldg 206","A survey of Calculus I","",Open,31,32,0
20911,MATH,1210,910,SPS,"0","Susan Mitchell","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Open,31,32,0
14288,MATH,1210,920,Lecture,"3","Susan Mitchell","MoWeFr 11:00am - 11:50am","Chemistry Bldg 206","A survey of Calculus I","",Open,30,32,0
20912,MATH,1210,921,SPS,"0","Susan Mitchell","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Open,30,32,0
19858,MATH,1210,930,Lecture,"3","Susan Mitchell","MoWeFr 12:00pm - 12:50pm","Chemistry Bldg 206","A survey of Calculus I","",Open,27,32,0
20913,MATH,1210,931,SPS,"0","Susan Mitchell","Th 7:00pm - 9:00pm","Contact Department","A survey of Calculus I","",Open,27,32,0
10746,MATH,1220,100,Lecture,"3","Aoran Wu","TuTh 9:30am - 10:45am","Chemistry Bldg 206","A Survey of Calculus II","",Open,17,32,0
20895,MATH,1220,110,SPS,"0","Aoran Wu","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus II","",Open,17,32,0
12284,MATH,1220,400,Lecture,"3","Yangxiao Luo","TuTh 3:30pm - 4:45pm","Chemistry Bldg 206","A Survey of Calculus II","",Open,26,32,0
20898,MATH,1220,410,SPS,"0","Yangxiao Luo","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus II","",Open,26,32,0
10747,MATH,1220,500,Lecture,"3","Maximiliano Sanchez Garza","MoWe 2:00pm - 3:15pm","John W. Warner Hall 115","A Survey of Calculus II","",Wait List,32,32,0
20899,MATH,1220,510,SPS,"0","Maximiliano Sanchez Garza","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus II","",Wait List,32,32,0
