ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19484,PHIL,1330,106,Discussion,"0","Dakota Jones","Fr 2:00pm - 2:50pm","New Cabell Hall 111","Virtual Worlds and Philosophy","",Wait List,19,20,1
11992,PHIL,1410,001,Lecture,"3","Trey Boone","TuTh 2:00pm - 3:15pm","Physics Bldg 338","Forms of Reasoning","",Wait List,120,120,19
14147,PHIL,1730,100,Lecture,"3","Nate Adams","TuTh 8:30am - 9:20am","Nau Hall 211","Introduction to Moral and Political Philosophy","",Open,55,60,1
14149,PHIL,1730,102,Discussion,"0","Anna Morse","Fr 9:00am - 9:50am","New Cabell Hall 332","Introduction to Moral and Political Philosophy","",Open,18,20,0
14150,PHIL,1730,103,Discussion,"0","Anna Morse","Fr 10:00am - 10:50am","New Cabell Hall 209","Introduction to Moral and Political Philosophy","",Open,19,20,0
14152,PHIL,1730,105,Discussion,"0","Anna Morse","Fr 12:00pm - 12:50pm","Cocke Hall 115","Introduction to Moral and Political Philosophy","",Open,17,20,1
19507,PHIL,2060,100,Lecture,"3","Alexander Motchoulski","MoWe 12:00pm - 12:50pm","Wilson Hall 301","Philosophical Problems in Law","",Wait List,118,120,13
19508,PHIL,2060,101,Discussion,"0","Blake Harris","Th 6:00pm - 6:50pm","Cocke Hall 115","Philosophical Problems in Law","",Wait List,19,20,7
19509,PHIL,2060,102,Discussion,"0","Blake Harris","Th 7:00pm - 7:50pm","New Cabell Hall 411","Philosophical Problems in Law","",Wait List,20,20,1
19510,PHIL,2060,103,Discussion,"0","Blake Harris","Th 8:00pm - 8:50pm","New Cabell Hall 415","Philosophical Problems in Law","",Wait List,20,20,0
19511,PHIL,2060,104,Discussion,"0","Mario Sergio Sheing Temoche","Fr 8:00am - 8:50am","New Cabell Hall 411","Philosophical Problems in Law","",Open,19,20,0
19512,PHIL,2060,105,Discussion,"0","Mario Sergio Sheing Temoche","Fr 9:00am - 9:50am","New Cabell Hall 364","Philosophical Problems in Law","",Wait List,20,20,2
19513,PHIL,2060,106,Discussion,"0","Mario Sergio Sheing Temoche","Fr 10:00am - 10:50am","Nau Hall 242","Philosophical Problems in Law","",Wait List,20,20,3
10810,PHIL,2120,100,Lecture,"3","Robert Ziegler","MoWe 10:00am - 10:50am","Monroe Hall 110","History of Philosophy: Modern","",Open,48,60,1
10811,PHIL,2120,101,Discussion,"0","Gabriel Kim","Th 6:00pm - 6:50pm","New Cabell Hall 032","History of Philosophy: Modern","",Wait List,20,20,1
10812,PHIL,2120,102,Discussion,"0","Gabriel Kim","Th 7:00pm - 7:50pm","New Cabell Hall 287","History of Philosophy: Modern","",Open,18,20,0
10813,PHIL,2120,103,Discussion,"0","Gabriel Kim","Th 8:00pm - 8:50pm","Cocke Hall 101","History of Philosophy: Modern","",Open,10,20,0
19589,PHIL,2350,100,Lecture,"3","Zachary Irving","MoWe 2:00pm - 2:50pm","Minor Hall 125","Minds, Machines, and Persons","",Open,160,180,3
19590,PHIL,2350,101,Discussion,"0","Zachary Veroneau","Th 6:00pm - 6:50pm","New Cabell Hall 168","Minds, Machines, and Persons","",Wait List,20,20,1
19591,PHIL,2350,102,Discussion,"0","Zachary Veroneau","Th 7:00pm - 7:50pm","Cocke Hall 101","Minds, Machines, and Persons","",Wait List,20,20,1
19592,PHIL,2350,103,Discussion,"0","Zachary Veroneau","Th 8:00pm - 8:50pm","New Cabell Hall 211","Minds, Machines, and Persons","",Open,15,20,0
19593,PHIL,2350,104,Discussion,"0","William Welchance","Fr 8:00am - 8:50am","Cocke Hall 101","Minds, Machines, and Persons","",Open,8,20,0
19594,PHIL,2350,105,Discussion,"0","William Welchance","Fr 9:00am - 9:50am","Cocke Hall 115","Minds, Machines, and Persons","",Open,19,20,0
19595,PHIL,2350,106,Discussion,"0","William Welchance","Fr 10:00am - 10:50am","Nau Hall 241","Minds, Machines, and Persons","",Wait List,19,20,1
19596,PHIL,2350,107,Discussion,"0","James Reed","Fr 11:00am - 11:50am","Cocke Hall 115","Minds, Machines, and Persons","",Wait List,20,20,0
19597,PHIL,2350,108,Discussion,"0","James Reed","Fr 12:00pm - 12:50pm","New Cabell Hall 332","Minds, Machines, and Persons","",Open,19,20,0
19598,PHIL,2350,109,Discussion,"0","James Reed","Fr 1:00pm - 1:50pm","New Cabell Hall 209","Minds, Machines, and Persons","",Wait List,20,20,0
12504,PHIL,2640,100,Lecture,"3","Elizabeth Barnes","TuTh 8:00am - 8:50am","Clark Hall 107","Rational Choice and Happiness","",Wait List,120,120,12
12931,PHIL,2640,101,Discussion,"0","Charles Oswald","Fr 8:00am - 8:50am","New Cabell Hall 415","Rational Choice and Happiness","",Wait List,20,20,3
12932,PHIL,2640,104,Discussion,"0","Zhengping Zhang","Fr 12:00pm - 12:50pm","New Cabell Hall 364","Rational Choice and Happiness","",Wait List,20,20,3
12933,PHIL,2640,105,Discussion,"0","Zhengping Zhang","Fr 1:00pm - 1:50pm","New Cabell Hall 395","Rational Choice and Happiness","",Wait List,20,20,1
12934,PHIL,2640,106,Discussion,"0","Zhengping Zhang","Fr 2:00pm - 2:50pm","New Cabell Hall 107","Rational Choice and Happiness","",Wait List,20,20,0
19599,PHIL,3120,1,Lecture,"3","Ian McCready-Flora","TuTh 9:30am - 10:45am","New Cabell Hall 383","Aristotle","",Open,29,30,0
20591,PHIL,3160,001,Lecture,"3","Antonia LoLordo","TuTh 5:00pm - 6:15pm","New Cabell Hall 132","18th Century Philosophy","",Open,27,30,0
20601,PHIL,3320,001,Lecture,"3","Harold Langsam","MoWe 5:00pm - 6:15pm","New Cabell Hall 168","Epistemology","",Open,27,30,0
14202,PHIL,3330,001,Lecture,"3","Trey Boone","TuTh 9:30am - 10:45am","Cocke Hall 115","Philosophy of Mind","",Wait List,30,30,9
13530,PHIL,3500,001,SEM,"3","Elizabeth Barnes","TuTh 11:00am - 12:15pm","Cocke Hall 115","Seminar in Philosophy","Heterodoxy",Wait List,29,30,3
19601,PHIL,3710,1,Lecture,"3","Talbot Brewer","MoWe 2:00pm - 3:15pm","New Cabell Hall 332","Ethics","",Wait List,29,30,4
19602,PHIL,3720,1,Lecture,"3","Rebecca Stangl","TuTh 3:30pm - 4:45pm","New Cabell Hall 338","Contemporary Ethics","",Wait List,30,30,11
12044,PHIL,3800,001,SEM,"3","Dee Payton","TuTh 8:00am - 9:15am","Cocke Hall 115","Feminist Philosophy","",Wait List,30,30,3
13313,PLAP,2250,001,Lecture,"3","Calvin TerBeek","MoWeFr 10:00am - 10:50am","Wilson Hall 214","American Political Tradition","",Wait List,20,20,8
13314,PLAP,2250,002,Lecture,"3","Kennon Keiser","MoWeFr 10:00am - 10:50am","New Cabell Hall 395","American Political Tradition","",Wait List,20,20,7
19887,PLAP,3810,001,Lecture,"3","Holly Vradenburgh","Tu 4:00pm - 6:30pm","Nau Hall 211","Constitutional Interpretation: Separation of Powers and Federalism","",Wait List,50,50,15
12126,PLCP,2420,001,Lecture,"3","John Echeverri-Gent","MoWe 2:00pm - 3:15pm","Physics Bldg 242","Politics of Modernity","",Open,65,75,4
14503,PLPT,3020,100,Lecture,"3","Colin Bird","MoWe 9:00am - 9:50am","Nau Hall 101","Modern Political Thought","",Open,167,240,0
19355,PLPT,3020,101,Discussion,"0","Hyunsoo Kwon","We 5:00pm - 5:50pm","Brooks Hall 103","Modern Political Thought","",Wait List,20,20,0
19356,PLPT,3020,102,Discussion,"0","Hyunsoo Kwon","We 6:00pm - 6:50pm","Nau Hall 242","Modern Political Thought","",Wait List,20,20,0
19357,PLPT,3020,103,Discussion,"0","Hyunsoo Kwon","We 7:00pm - 7:50pm","New Cabell Hall 207","Modern Political Thought","",Open,15,20,0
